applicant_age,applicant_marital_status,employment_segment,applicant_income,spouse_income,program_type,product_name,house_ownership,down_payment,financing_tenure,interest_rate,installment_payment,credit_score
53,Single,Swasta,4735650,,FLPP,KRR,TRUE,1839221,18,4,Angsuran Tetap (Fixed),Tidak Layak
27,Widowed/Divorced,pekerjaan lain,5682115,,TAPERA,KRR,FALSE,25711873,7,9,Angsuran Variabel (Variable),Dipertimbangkan
18,Married,TNI,15157347,2066449,FLPP,KPP,TRUE,1999828,6,4,Angsuran Variabel (Variable),Dipertimbangkan
27,Married,TNI,17956909,1890399,FLPP,KPP,TRUE,19832259,13,9,Angsuran Variabel (Variable),Dipertimbangkan
39,Widowed/Divorced,TNI,8396759,,FLPP,KPR,TRUE,16072954,18,1,Angsuran Variabel (Variable),Dipertimbangkan
61,Married,ASN,6357277,15180586,FLPP,KRR,TRUE,12416912,18,3,Angsuran Variabel (Variable),Dipertimbangkan
26,Widowed/Divorced,pekerjaan mandiri,12294238,,FLPP,KRR,FALSE,4429607,6,7,Angsuran Tetap (Fixed),Tidak Layak
19,Single,BUMDes,13045349,,TAPERA,KRR,TRUE,29437192,23,10,Angsuran Variabel (Variable),Layak
29,Married,PNS,2457954,16415740,FLPP,KPR,TRUE,18992829,8,7,Angsuran Variabel (Variable),Dipertimbangkan
18,Single,PNS,19523409,,TAPERA,KPR,TRUE,10837430,24,10,Angsuran Variabel (Variable),Layak
25,Married,POLRI,3333883,2537611,TAPERA,KRR,TRUE,23188315,15,5,Angsuran Tetap (Fixed),Dipertimbangkan
18,Single,POLRI,8811165,,TAPERA,KPR,TRUE,4389045,25,5,Angsuran Variabel (Variable),Layak
42,Widowed/Divorced,Swasta,13241736,,FLPP,KRR,TRUE,6457765,24,6,Angsuran Tetap (Fixed),Dipertimbangkan
26,Married,pekerjaan lain,9958289,3395870,FLPP,KPP,FALSE,21439044,11,9,Angsuran Variabel (Variable),Dipertimbangkan
59,Married,TNI,9214491,6482877,TAPERA,KRR,TRUE,16510878,25,5,Angsuran Tetap (Fixed),Dipertimbangkan
53,Widowed/Divorced,pekerjaan mandiri,19688132,,TAPERA,KPR,TRUE,8369062,21,1,Angsuran Variabel (Variable),Dipertimbangkan
27,Married,Swasta,2077105,11584847,FLPP,KRR,FALSE,14460856,18,2,Angsuran Tetap (Fixed),Tidak Layak
26,Widowed/Divorced,ASN,11558837,,FLPP,KRR,FALSE,8134562,32,7,Angsuran Variabel (Variable),Dipertimbangkan
69,Single,POLRI,16396513,,TAPERA,KPR,FALSE,5793975,17,3,Angsuran Tetap (Fixed),Dipertimbangkan
